SAN FRANCISCO
-------------
 
DATE
----
871129
871130
871201
871202
871203
871204
871205
871206
871207
871208
871209
871210
 
                  LOGINS                     CONNECT TIME (HOURS)
       -------------------------------    -------------------------------
 HR    BAND4    BAND5           ROTARY    BAND4    BAND5           ROTARY
 21     3312     1678             4990    81.49    39.72           121.21
 22     3320     1694             5014    86.44    40.74           127.18
 23     3235     1593             4828    72.95    29.51           102.46
 24     2923     1417             4340    51.51    15.57            67.08
  1     2614     1129             3743    34.40     9.85            44.26
  2     2489     1045             3534    24.90     8.80            33.70
  3     2420      943             3363    19.94     6.85            26.80
  4     1691     7802             9493    15.41    48.02            63.43
  5     1565      666             2231    13.61     4.95            18.56
  6     1527      644             2171    15.18     4.63            19.82
  7     1377      447             1824    12.25     5.18            17.42
  8     1083      241             1324     8.33     3.44            11.78
  9      715       31              746     7.45     0.39             7.84
 10      226       19              245     4.59     0.72             5.31
 11      194       19              213     2.41     0.78             3.20
 12      898      167             1065     6.07     3.39             9.46
 13     1472      656             2128    12.86     7.82            20.67
 14     1910      905             2815    32.59    19.94            52.53
 15     2597     1515             4112    71.45    25.32            96.76
 16     2696     1851             4547    79.43    30.63           110.05
 17     7056     1624             8680   112.03    35.38           147.41
 18     2846     1507             4353    68.47    25.14            93.61
 19     2734     1468             4202    58.54    21.08            79.62
 20     2891     1617             4508    66.84    30.72            97.57
 21     2941     1722             4663    73.08    34.66           107.74
 22     9732     1670            11402   118.54    34.31           152.85
 23     2862     1483             4345    67.47    26.30            93.77
 24     2   1287             3813    49.45    12.33            61.78
  1     2257      999             3256    28.61    10.25            38.86
  2     2150      969             3119    24.30     7.45            31.75
  3     2093      951             3044    19.55     7.22            26.77
  4     1663      927             2590    14.61     8.79            23.40
  5     1605      654             2259    15.43     6.67            22.10
  6     1560      492             2052    14.03     4.29            18.32
  7     1470      236             1706     9.78     2.62            12.41
  8      800      288             1088     6.78     3.02             9.80
  9      836      106              942     8.06     0.87             8.93
 10      821       24              845     8.37     0.36             8.73
 11      686       13              699     5.48     0.40             5.88
 12      832       43              875     6.32     0.78             7.09
 13     1691      642             2333    13.65     5.95            19.61
 14     2183      858             3041    34.37    14.42            48.79
 15     3129     1607             4736    77.46    25.23           102.69
 16     3355     1837             5192    82.45    29.31           111.76
 17     3347     1948             5295    85.07    37.10           122.17
 18     3306     1831             5137    71.21    27.72            98.93
 19     3194     1815             5009    58.99    23.82            82.81
 20     3301     1943             5244    70.48    33.38           103.85
 21     3318     2011             5329    78.27    36.78           115.05
 22     3292     1605             4897    80.22    34.36           114.58
 23     3256     1272             4528    75.64    22.88            98.52
 24     2976     1086             4062    50.75    11.35            62.11
  1     2709      792             3501    32.88     7.75            40.63
  2     2587      707             3294    25.38     6.29            31.67
  3     2534      684             3218    19.49     6.61            26.09
  4     1870      664             2534    16.95     4.81            21.77
  5     1611      636             2247    12.69     4.91            17.61
  6     1602      621             2223    11.81     4.96            16.77
  7     1563      617             2180    11.66     4.09            15.75
  8     1468      527             1995    10.47     6.39            16.86
  9     1059       79             1138     9.86     1.06            10.92
 10      893       16              909     9.39     0.19             9.58
 11      428       41              469     4.09     0.54             4.63
 12     1038      224             1262     7.48     2.85            10.33
 13     1520      792             2312    12.84     7.84            20.69
 14     1897      903             2800    25.67    17.91            43.57
 15     3193     1174             4367    71.05    23.14            94.19
 16     3266     1536             4802    84.05    27.44           111.48
 17     3219     1659             4878    84.38    33.68           118.05
 18     4167     1540             5707    77.27    23.80           101.07
 19     3199     1620             4819    64.20    25.36            89.56
 20     3239     4891             8130    73.86    51.95           125.81
 21     3255     4280             7535    76.22    50.20           126.42
 22     1749      907             2656    74.74    36.68           111.42
 23      790      314             1104    59.08    25.12            84.19
 24      431       81              512    28.44     4.56            33.00
 
 
        NON-POS TRANSACTIONS                 POS TRANSACTIONS
       -------------------------------    -------------------------------
 HR    BAND4    BAND5           ROTARY    BAND4    BAND5           ROTARY
 --    -----    -----           ------    -----    -----           ------
  1       88       45              133     3829     1457             5286
  2       92       41              133     3829     1456             5285
  3       87       25              112     3760     1431             5191
  4       68       38              106     2969     1366             4335
  5       89       58              147     2530      930             3460
  6      158       32              190     2450      726             3176
  7       64       18               82     2452      534             2986
  8       86       74              160     2436      526             2962
  9      211       12              223     1164      332             1496
 10      192        2              194     1098       17             1115
 11       53        4               57      139       15              154
 12        1        5                6      769      144              913
 13        1       13               14      887      518             1405
 14       10       16               26      887      518             1405
 15       10        8               18      911      518             1429
 16        7        8               15      963      521             1484
 17       39       19               58      964      582             1546
 18       64       17               81     1722      619             2341
 19       82       39              121     2032      627             2659
 20      120       62              182     2032      630             2662
 21      103       59              162     2033      628             2661
 22      117       49              166     2035      629             2664
 23       98       42              140     2032      627             2659
 24       84       42              126     2014      611             2625
  1       57       31               88     1001      570             1571
  2       36       47               83      963      532             1495
  3       37       27               64      966      528             1494
  4       51       20               71      918      521             1439
  5       78       57              135      897      518             1415
  6       85       30              115      905      403             1308
  7       25       10               35      892      205             1097
  8       83       79              162       69       14               83
  9      197       15              212       38        4               42
 10      194        2              196       29       32               61
 11       54        4               58       21        7               28
 12       13       11               24       24      449              473
 13       70       48              118       22      450              472
 14      387      171              558       27      633              660
 15      962      252             1214       31     1022             1053
 16     1090      306             1396       37     1087             1124
 17     1044      367             1411       42     1093             1135
 18      889      318             1207       36     1090             1126
 19      534      256              790       44     1081             1125
 20     1328      579             1907       44     1080             1124
 21     1258      488             1746       39     1071             1110
 22     1309      464             1773       27     1080             1107
 23      921      326             1247       33      661              694
 24      629      133              762       33      399              432
  1      259       75              334      246       32              278
  2      144       47              191     1056       41             1097
  3      127       21              148     1018       34             1052
  4       74       41              115      725       34              759
  5       94       51              145      706       16              722
  6      122       25              147      706       22              728
  7       30       11               41      632       34              666
  8       84       70              154      438       32              470
  9      198       10              208      541       18              559
 10      205        1              206      548        4              552
 11       54        1               55      539        9              548
 12        8       10               18      898       99              997
 13       58       54              112     1187      700             1887
 14      345      212              557     1532      736             2268
 15      843      267             1110     1875     1677             3552
 16     1030      382             1412     2013     1718             3731
 17     1029      349             1378     2100     1727             3827
 18      928      203             1131     2121     1722             3843
 19      744      209              953     2130     1542             3672
 20      861      292             1153     2136     1046             3182
 21      935      344             1279     2136     1046             3182
 22      963      385             1348     2116     1046             3162
 23      900      262             1162     2061      927             2988
 24      533       96              629     2046      462             2508
  1      214       96              310     2014      254             2268
  2      136       54              190     2014      254             2268
  3      116       25              141     1984      246             2230
  4       72       30              102     1350      221             1571
  5       79       73              152     1283      213             1496
  6      128       43              171     1283      216             1499
  7       35       18               53     1285      216             1501
  8       81       80              161      963      211             1174
  9      195       13              208      491       80              571
 10      196        1              197      578        6              584
 11       57        3               60      826        8              834
 12       17       11               28     1144      351             1495
 13       40       59               99     1163      512             1675
 14      309      144              453     1540      511             2051
 15      868      237             1105     2233      954             3187
 16      988      383             1371     2871     1071             3942
 17     1035      437             1472     2322     1111             3433
 18      893      306             1199     2322     1113             3435
 19      711      291             1002     2322     1109             3431
 20      947      429             1376     2322     1115             3437
 21     1204      525             1729     6749     1115             7864
 22     1412      576             1988     2322     1115             3437
 23     1032      349             1381     2322     1110             3432
 24      582      115              697     2296      981             3277
  1      270       79              349     2280      798             3078
  2      163       36              199     2280      790             3070
  3      117       23              140     2272      780             3052
  4       92       29              121     1527      748             2275
  5       99       53              152     1291      516             1807
  6      141       23              164     1256      522             1778
  7       30        7               37     1259      396             1655
  8       88       74              162      821      210             1031
  9      197       15              212      556      117              673
 10      196        3              199      557        2              559
 11       53        4               57      551       12              563
 12       23       15               38      557      259              816
 13       61       46              107     1123      570             1693
 14      284      151              435     1507      611             2118
 15      809      197             1006     2588      826             3414
 16      882      309             1191     2845      628             3473
 17      876      307             1183     4114      630             4744
 18      830      170             1000     2846      630             3476
 19      681      188              869     2860      630             3490
 20      789      349             1138     2860      630             3490
 21      830      360             1190     2860      630             3490
 22      870      381             1251     2860      630             3490
 23      819      215             1034     2860      626             3486
 24      540       99              639     2830      638             3468
  1      278       77              355     2500      638             3138
  2      173       51              224     2492      638             3130
  3      107       20              127     2491      623             3114
  4       82       21              103     1683      599             2282
  5       76       73              149     1405      574             1979
  6      135       26              161     1405      573             1978
  7       30        9               39     1369      572             1941
  8       81       75              156      873      252             1125
  9      210       11              221      286       97              383
 10      198        3              201      241       13              254
 11       54       12               66      376        8              384
 12       16        9               25      410      104              514
 13       50       38               88      501      396              897
 14      311      177              488      637      401             1038
 15      750      228              978     1002      769             1771
 16      924      336             1260     1082     1042             2124
 17     1065      452             1517     2287      914             3201
 18      884      339             1223     3170     1114             4284
 19      635      256              891     3170     1116             4286
 20      785      399             1184     3170     1117             4287
 21      843      417             1260     3170     1117             4287
 22      847      365             1212     3170     1117             4287
 23      791      217             1008     3170     1117             4287
 24      441       79              520     3149      919             4068
  1      194       72              266     3123      736             3859
  2      117       48              165     3057      736             3793
  3      104       34              138     2714      749             3463
  4       61       39              100     1808      712             2520
  5       67       73              140     1724      681             2405
  6      139       44              183     1724      660             2384
  7       32       19               51     1729      624             2353
  8       76       75              151     1634      575             2209
  9      209       13              222     1618     3570             5188
 10      204        3              207     1619       55             1674
 11       51        3               54     1470      493             1963
 12        2        8               10     1835      489             2324
 13        6       10               16     1960      769             2729
 14       44       30               74     2015      822             2837
 15      174       46              220     2411      871             3282
 16      282       76              358     3468      960             4428
 17      361       87              448     3527     1641             5168
 18      353      110              463     3564     1968             5532
 19      309      112              421     3564     1968             5532
 20      294      122              416     3564     1968             5532
 21      272      163              435     3564     1968             5532
 22      257      133              390     3564     1968             5532
 23      223       88              311     3564     1968             5532
 24      156       66              222     3522     1736             5258
  1      120       48              168     3502     1422             4924
  2       87       65              152     3502     1422             4924
  3       82       25              107     3416     1037             4453
  4       60       12               72     2251      846             3097
  5       87       54              141     2184      827             3011
  6      164       33              197     2188      829             3017
  7       62       15               77     2121      834             2955
  8       83       69              152     2106      610             2716
  9      208       14              222     2071       94             2165
 10      208        9              217     1017       13             1030
 11       59       20               79      410        9              419
 12       10       21               31      631      209              840
 13        3       13               16      648      423             1071
 14        8        8               16      780      532             1312
 15       10       10               20     1661      532             2193
 16       34       11               45     1707      533             2240
 17       31       22               53     1709      573             2282
 18       86       24              110     2793      652             3445
 19      121       45              166     2849      679             3528
 20      149       84              233     2849      679             3528
 21      125       82              207     2866      679             3545
 22      105       67              172     2858      679             3537
 23      112       51              163     2850      681             3531
 24       93       37              130     2849     6193             9042
  1       63       29               92     1994      642             2636
  2       52       47               99     1708      547             2255
  3       43       39               82     1693      544             2237
  4       41       25               66     1644      538             2182
  5       67       44              111     1643      539             2182
  6       94       29              123     1645      450             2095
  7       19       16               35     1640      337             1977
  8       83       79              162      763      145              908
  9      207       15              222      637        4              641
 10      208        5              213      620       21              641
 11       63        3               66      625       10              635
 12       11       18               29      641      245              886
 13       41       48               89     1348      600             1948
 14      257      169              426     1676      601             2277
 15      738      212              950     2262      919             3181
 16     1005      273             1278     2353     1284             3637
 17     1008      362             1370     2368     1305             3673
 18      927      304             1231     2377     1314             3691
 19      760      231              991     2402     1296             3698
 20      890      376             1266     2409     1296             3705
 21      966      425             1391     2409     1286             3695
 22      983      452             1435     2409     1277             3686
 23      913      301             1214     2391     1321             3712
 24      603      112              715     2373     1322             3695
  1      302       57              359     2337     1074             3411
  2      164       66              230     2337      983             3320
  3       97       18              115     2326      925             3251
  4       75       22               97     1620     7781             9401
  5       97       60              157     1476      605             2081
  6      106       36              142     1435      609             2044
  7       24       39               63     1359      409             1768
  8       84       95              179     1001      149             1150
  9      202       14              216      513       18              531
 10      205        6              211       25       13               38
 11       55        6               61      140       15              155
 12        7       13               20      891      155             1046
 13       60       60              120     1413      600             2013
 14      329      198              527     1592      718             2310
 15      871      295             1166     1769     1242             3011
 16      942      300             1242     1820     1564             3384
 17      984      386             1370     6142     1267             7409
 18      867      256             1123     2038     1275             3313
 19      738      207              945     2038     1275             3313
 20      910      361             1271     2038     1275             3313
 21      959      467             1426     2038     1275             3313
 22      987      428             1415     8819     1275            10094
 23      881      251             1132     2047     1259             3306
 24      535      118              653     2032     1176             3208
  1      289       81              370     1988      921             2909
  2      176       52              228     1988      921             2909
  3      123       38              161     1983      916             2899
  4       81       34              115     1589      895             2484
  5      119       52              171     1493      605             2098
  6      110       22              132     1461      472             1933
  7       26        9               35     1447      228             1675
  8       88       74              162      713      214              927
  9      199       12              211      637       95              732
 10      204        5              209      623       18              641
 11       58        4               62      629        9              638
 12        8       10               18      825       33              858
 13       51       42               93     1643      601             2244
 14      316      176              492     1879      685             2564
 15      827      223             1050     2339     1395             3734
 16      967      280             1247     2455     1581             4036
 17      940      384             1324     2485     1588             4073
 18      878      271             1149     2496     1583             4079
 19      758      233              991     2480     1598             4078
 20      880      353             1233     2478     1608             4086
 21      893      435             1328     2478     1608             4086
 22      875      386             1261     2478     1239             3717
 23      842      287             1129     2478     1014             3492
 24      544      106              650     2475      991             3466
  1      301       64              365     2433      729             3162
  2      173       47              220     2432      662             3094
  3      119       29              148     2421      657             3078
  4       87       26              113     1791      639             2430
  5       79       33              112     1537      605             2142
  6       73       15               88     1537      608             2145
  7       73        8               81     1490      610             2100
  8       92       80              172     1377      448             1825
  9      202       14              216      858       68              926
 10      268        4              272      629       12              641
 11      104       34              138      327        7              334
 12       14       80               94     1025      145             1170
 13       41       39               80     1481      754             2235
 14      258      156              414     1646      754             2400
 15      808      237             1045     2411      948             3359
 16      944      251             1195     2401     1305             3706
 17      869      372             1241     2420     1303             3723
 18      830      260             1090     3396     1299             4695
 19      800      330             1130     2454     1299             3753
 20      849      367             1216     2433     4547             6980
 21      863      393             1256     2447     3914             6361
 22      898      420             1318      917      508             1425
 23      854      332             1186        0       15               15
 24      479       89              568        0        0                0
 
 
T = TOTAL CONNECT HOURS
M = PEAK CONNECT HOURS
P = PEAK % TOTAL CONNECT HOURS
H = PEAK HOUR
 
 
                  LOGINS                     CONNECT TIME (HOURS)
       -------------------------------    -------------------------------
DAY    BAND4    BAND5           ROTARY    BAND4    BAND5           ROTARY
---    -----    -----           ------    -----    -----           ------
 1T    47815    16676            64491   339.69   116.16           455.85
  M     3918     1502             5419    29.29    10.56            39.68
  P      8.2      9.0              8.4      8.6      9.1              8.7
  H        2        1                1        2        1                2
 2T    17729    18330            36059   798.48   337.51          1135.99
  M     1312     1635             2947    98.10    43.68           141.78
  P      7.4      8.9              8.2     12.3     12.9             12.5
  H       20       20               20       21       21               21
 3T    41369    17911            59280   902.56   320.97          1223.52
  M     3046     2077             5091    91.22    37.87           129.08
  P      7.4     11.6              8.6     10.1     11.8             10.6
  H       17       16               17       16       16               16
 4T    56514    18080            74594  1121.93   404.82          1526.76
  M     7871     1663             9470   123.63    44.19           162.95
  P     13.9      9.2             12.7     11.0     10.9             10.7
  H       21       22               21       21       17               21
 5T    56452    15759            72211   955.38   284.83          1240.22
  M     4926     1008             5844    92.34    30.88           120.18
  P      8.7      6.4              8.1      9.7     10.8              9.7
  H       17       15               17       16       22               16
 6T    52274    19278            71552   984.86   355.29          1340.15
  M     3967     1509             5462   102.60    40.32           142.92
  P      7.6      7.8              7.6     10.4     11.3             10.7
  H       18       21               21       17       17               17
 7T    66137    30096            96233   568.56   236.46           805.02
  M     3903     3581             5977    43.67    22.54            58.76
  P      5.9     11.9              6.2      7.7      9.5              7.3
  H       18        9               18       17        9               18
 8T    53852    21815            75667   387.32   149.71           537.04
  M     3612     6229             9165    26.79    40.03            62.47
  P      6.7     28.6             12.1      6.9     26.7             11.6
  H        1       24               24        1       24               24
 9T    51421    21226            72647   913.30   341.99          1255.29
  M     3320     1694             5014    90.01    40.74           127.18
  P      6.5      8.0              6.9      9.9     11.9             10.1
  H       22       22               22       17       22               22
10T    59062    30458            89520   975.31   400.63          1375.94
  M     9732     7802            11402   118.54    48.02           152.85
  P     16.5     25.6             12.7     12.2     12.0             11.1
  H       22        4               22       22        4               22
11T    53121    24157            77278   939.86   355.03          1294.89
  M     3355     2011             5329    85.07    37.10           122.17
  P      6.3      8.3              6.9      9.1     10.4              9.4
  H       16       21               21       17       17               17
12T    49287    25305            74592   903.95   378.12          1282.07
  M     4167     4891             8130    84.38    51.95           126.42
  P      8.5     19.3             10.9      9.3     13.7              9.9
  H       18       20               20       17       20               21
 
 
        NON-POS TRANSACTIONS                 POS TRANSACTIONS
       -------------------------------    -------------------------------
DAY    BAND4    BAND5           ROTARY    BAND4    BAND5           ROTARY
---    -----    -----           ------    -----    -----           ------
 1T     1924      728             2652    45937    15962            61899
  M      211       74              223     3829     1457             5286
  P     11.0     10.2              8.4      8.3      9.1              8.5
  H        9        8                9        1        1                1
 2T    11331     4041            15372     7138    14530            21668
  M     1328      579             1907     1001     1093             1571
  P     11.7     14.3             12.4     14.0      7.5              7.3
  H       20       20               20        1       17                1
 3T    10568     3418            13986    31506    14724            46230
  M     1030      385             1412     2136     1727             3843
  P      9.7     11.3             10.1      6.8     11.7              8.3
  H       16       22               16       20       17               18
 4T    11347     4298            15645    45999    14093            60092
  M     1412      576             1988     6749     1115             7864
  P     12.4     13.4             12.7     14.7      7.9             13.1
  H       22       22               22       21       20               21
 5T     9740     3133            12873    47360    12829            60189
  M      882      381             1251     4114      826             4744
  P      9.1     12.2              9.7      8.7      6.4              7.9
  H       16       22               22       17       15               17
 6T     9766     3690            13456    43209    15830            59039
  M     1065      452             1517     3170     1117             4287
  P     10.9     12.2             11.3      7.3      7.1              7.3
  H       17       17               17       18       20               20
 7T     3987     1474             5461    62342    28687            91029
  M      361      163              463     3564     3570             5532
