               13770 53 6000469       011   018160184060    00     246      0              000000000000000000000000000000000     0     0 0
        3024162145241441211426  0  469  0930723 548       28534      131905       160439930723 658     7114 0731247PRODIGY                  15057 53 6000469       011   020864250990    00    4235      0              000000000000000000000000000000000     0     0 0
        30264651452414116 6020  0  469  0930723 555       10987       48568        59555930723 621     2714 0731247PRODIGY                  15057 56 6000469       011   021281228880    00    1607      0              000000000000000000000000000000000     0     0 0
        3029127145241451614457  0  469  0930723 602         251          66          317930723 603      114 0731247PRODIGY                  15057 30 6000469       011   021743217750    00      32      0              000000000000000000000000000000000     0     0 0
        30331491452414516 6020  0  469  0930723 614       15883       92434       108317930723 649     3514 0731247PRODIGY                  15057 31 6000469       011   022416245450    00    2129      0              000000000000000000000000000000000     0     0 0
        3046854145241411611042  0  469  0930723 655        4881        9859        14740930723 658      314 0731247PRODIGY                  15057 32 6000469       011   024879250860    00     207      0              000000000000000000000000000000000     0     0 0
        3061029145241411611042  0  469  0930723 738        7859       45656        53515930723 747      914 0731247PRODIGY                  15057 33 6000469       011   027462280000    00     538      0              000000000000000000000000000000000     0     0 0
        4944576145241451614457  0  469  0930723 503        1094        3691         4785930723 504      114 0731247PRODIGY                  15057 45 6000469       011   018177182370    00      60      0              000000000000000000000000000000000     0     0 0
        4944972145241471612406  0  469  0930723 504        5977        8643        14620930723 508      514 0731247PRODIGY                  15057 46 6000469       011   018222184920    00     270      0              000000000000000000000000000000000     0     0 0
        4945357145241451614463  0  469  0930723 505        2446        7227         9673930723 520     1614 0731247PRODIGY                  15057 47 6000469       011   018277192290    00     952      0              000000000000000000000000000000000     0     0 0
        5402281145241441614457  0  469  0930723 513        2555        6589         9144930723 522      914 0731247PRODIGY                  15057 30 6000469       011   018809193480    00     539      0              000000000000000000000000000000000     0     0 0
        5402658145241511614457  0  469  0930723 514        6804       21150        27954930723 521      714 0731247PRODIGY                  15057 33 6000469       011   018828192680    00     440      0              000000000000000000000000000000000     0     0 0
        5402665145241521614457  0  469  0930723 514       21569      104812       126381930723 537     2314 0731247PRODIGY                  15057 32 6000469       011   018829202220    00    1393      0              000000000000000000000000000000000     0     0 0
       10640525 65651411614457  0  469  09307231400        2824       16220        190449307231403      314 0731247PRODIGY                  13770 50 6000469       011   050422505880    00     166      0              000000000000000000000000000000000     0     0 0
       10643887 65651431611426  0  469  09307231403        7728       12196        199249307231413     1014 0731247PRODIGY                  13770 51 6000469       011   050575511660    00     591      0              000000000000000000000000000000000     0     0 0
       10721992 656514116 6020  0  469  09307231503       24517      163830       1883479307231639     9614 0731247PRODIGY                  13770 53 6000469       011   054163599100    00    5747      0              000000000000000000000000000000000     0     0 0
       10722636 65651431614457  0  469  09307231503        4703        6667        113709307231505      214 0731247PRODIGY                  13770 54 6000469       011   054190542970    00     107      0              000000000000000000000000000000000     0     0 0
       10725746 65651431611426  0  469  09307231505        5759       17611        233709307231520     1414 0731247PRODIGY                  13770 55 6000469       011   054326551890    00     863      0              000000000000000000000000000000000     0     0 0
       10741151 65651441611042  0  469  09307231517       11079       74436        855159307231538     2214 0731247PRODIGY                  13770 56 6000469       011   054993562870    00    1294      0              000000000000000000000000000000000     0     0 0
       10762829 65651431611042  0  469  09307231532        9753       40153        499069307231539      714 0731247PRODIGY                  13770 57 6000469       011   055933563500    00     417      0              000000000000000000000000000000000     0     0 0
       10773685 65651431611426  0  469  09307231540        7753       45688        534419307231550     1014 0731247PRODIGY                  13770 30 6000469       011   056422570240    00     602      0              000000000000000000000000000000000     0     0 0
       10775278 65651441614457  0  469  09307231542        9306       43069        523759307231558     1714 0731247PRODIGY                  13770 31 6000469       011   056493575000    00    1007      0              000000000000000000000000000000000     0     0 0
       10805606 656514316 6020  0  469  09307231605       11866       32124        439909307231619     1414 0731247PRODIGY                  13770 33 6000469       011   057916587340    00     818      0              000000000000000000000000000000000     0     0 0
       10844989 65651411214463  0  469  09307231639       11795       59687        714829307231654     1514 0731247PRODIGY                  13770 34 6000469       011   059924608330    00     909      0              000000000000000000000000000000000     0     0 0
       10849886 65651431614463  0  469  09307231643       10088       47536        576249307231702     1814 0731247PRODIGY                  13770 35 6000469       011   060188612940    00    1106      0         000000000000000000000000000000000     0     0 0
       106177511452614116 6020  0  469  09307231341        1128        3818         49469307231342      114 0731247PRODIGY                  15064 33 6000469       011   049265493410    00      76      0              000000000000000000000000000000000     0     0 0
       10638339145261411614463  0  469  09307231359        2398        3338         57369307231360      114 0731247PRODIGY                  15064 34 6000469       011   050318503950    00      77      0              000000000000000000000000000000000     0     0 0
       10665668145261411611042  0  469  09307231420        6561       19655        262169307231428      814 0731247PRODIGY                  15064 35 6000469       011   051591520690    00     478      0              000000000000000000000000000000000     0     0 0
       10786394145261411614457  0  469  09307231550        8168       12877        210459307231654     6414 0731247PRODIGY                  15064 36 6000469       011   056995608250    00    3830      0              000000000000000000000000000000000     0     0 0
